Day,Date,Channel,Rosewood Sand Hill,Garden Court Hotel,Nobu Hotel Epiphany Palo Alto,Stanford Park Hotel,Westin Palo Alto,Pullman San Francisco Bay
Tue,8/20/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,8/21/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,8/21/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,8/22/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,8/22/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,8/23/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,8/23/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,8/24/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,8/24/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,8/25/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,8/25/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,8/26/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,8/26/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,8/27/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,8/27/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,8/28/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,8/28/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,8/29/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,8/29/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,8/30/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,8/30/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,8/31/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,8/31/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,9/1/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,9/1/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,9/2/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,9/2/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,9/3/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,9/3/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,9/4/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,9/4/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,9/5/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,9/5/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,9/6/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,9/6/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,9/7/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,9/7/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,9/8/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,9/8/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,9/9/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,9/9/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,9/10/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,9/10/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,9/11/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,9/11/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,9/12/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,9/12/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,9/13/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,9/13/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,9/14/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,9/14/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,9/15/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,9/15/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,9/16/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,9/16/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,9/17/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,9/17/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,9/18/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,9/18/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,9/19/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,9/19/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,9/20/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,9/20/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,9/21/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,9/21/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,9/22/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,9/22/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,9/23/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,9/23/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,9/24/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,9/24/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,9/25/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,9/25/2019,Booking.com,No data,No data,No data,No data,No data,No data
