Day;Date;Channel;"Rosewood Sand Hill";"Garden Court Hotel";"Nobu Hotel Epiphany Palo Alto";"Stanford Park Hotel";"Westin Palo Alto";"Pullman San Francisco Bay";los1;﻿Day;Date;Channel;"Rosewood Sand Hill";"Garden Court Hotel";"Nobu Hotel Epiphany Palo Alto";"Stanford Park Hotel";"Westin Palo Alto";"Pullman San Francisco Bay";los3
Sat;3/23/2019;Brand.com;"Sold out";309;399;154;"No data";116;1;Sat;3/23/2019;Booking.com;"Sold out";"Sold out";"Sold out";399;429;186;3
Sat;3/23/2019;Booking.com;"Sold out";309;359;179;203;116;1;Sat;3/23/2019;Brand.com;"Sold out";"No data";"Sold out";374;"No data";181;3
Sat;3/23/2019;Booking.com;"Sold out";309;359;179;203;116;1;Sat;3/23/2019;Booking.com;"Sold out";"Sold out";"Sold out";399;429;186;3
Sat;3/23/2019;Expedia;"Sold out";263;359;179;203;116;1;Sat;3/23/2019;Brand.com;"Sold out";"No data";"Sold out";374;"No data";181;3
Sat;3/23/2019;Expedia;"Sold out";263;359;179;203;116;1;Sat;3/23/2019;Booking.com;"Sold out";"Sold out";"Sold out";399;429;186;3
Sat;3/23/2019;GDS;"Sold out";309;399;179;203;116;1;Sat;3/23/2019;Brand.com;"Sold out";"No data";"Sold out";374;"No data";181;3
Sat;3/23/2019;GDS;"Sold out";309;399;179;203;116;1;Sat;3/23/2019;Booking.com;"Sold out";"Sold out";"Sold out";399;429;186;3
Sun;3/24/2019;Brand.com;"Sold out";549;"Sold out";384;"No data";143;1;Sun;3/24/2019;Brand.com;"Sold out";"No data";"Sold out";537;"No data";350;3
Sun;3/24/2019;Brand.com;"Sold out";549;"Sold out";384;"No data";143;1;Sun;3/24/2019;Booking.com;"Sold out";"Sold out";"Sold out";562;600;359;3
Sun;3/24/2019;Booking.com;"Sold out";549;"Sold out";409;467;143;1;Sun;3/24/2019;Brand.com;"Sold out";"No data";"Sold out";537;"No data";350;3
Sun;3/24/2019;Booking.com;"Sold out";549;"Sold out";409;467;143;1;Sun;3/24/2019;Booking.com;"Sold out";"Sold out";"Sold out";562;600;359;3
Sun;3/24/2019;Expedia;"Sold out";450;"Sold out";409;458;143;1;Sun;3/24/2019;Brand.com;"Sold out";"No data";"Sold out";537;"No data";350;3
Sun;3/24/2019;Expedia;"Sold out";450;"Sold out";409;458;143;1;Sun;3/24/2019;Booking.com;"Sold out";"Sold out";"Sold out";562;600;359;3
